claim_id,section,statement,claim_type,tier,evidence,status,priority,last_checked,note,source_ref,stale_after
1.0-egc-definition,1,內皮糖萼是覆蓋在血管內皮細胞管腔表面、含水且富含碳水化合物的結構層。,definition,,,unverified,low,,,glycocalyx/v3#1;mitochondria/axis#1.1.1,
1.1-dynamic-organelle,1.1,eGC 應被概念化為動態內皮細胞器，而非僅由厚度定義的靜態屏障。,definition,,,unverified,med,,框架性主張；需找到提出此定義的關鍵綜述,glycocalyx/v3#1.1;intake/2026-07-28-糖萼層生理#L5,
1.1-qualitative-precedes-dysfunction,1.1,糖萼的性質改變（qualitative alterations）先於可偵測的內皮功能障礙出現。,mechanism,,,unverified,high,,全文核心論點，必須有縱向或時序性證據支持,glycocalyx/v3#1.1,
1.2-ecsod-mito-protection,1.2,糖萼結合的 ecSOD 可阻止外部氧化衝擊傳入細胞，避免線粒體 ROS 誘導的通透性轉換與凋亡。,mechanism,,,unverified,high,,文件標示為 2025 年新興數據，需查證,glycocalyx/v3#1.2;intake/2026-07-28-糖萼層生理#L39,
1.2-ext-activity-drop,1.2,線粒體功能障礙或氧化壓力會降低 EXT1/EXT2 活性，導致 HS 鏈變短與硫酸化異常。,mechanism,,,unverified,high,,,glycocalyx/v3#1.2,
1.2-mito-glycocalyx-axis,1.2,內皮線粒體代謝與糖萼結構之間存在雙向調節軸。,mechanism,,,unverified,high,,新興概念，需確認是否已有明確命名此軸的文獻,glycocalyx/v3#1.2;intake/2026-07-28-糖萼層生理#L40;mitochondria/axis#1.2,
1.2-udp-nad-dependency,1.2,糖萼合成依賴 UDP-糖庫可用性與胞質 NAD+/NADH 比值。,mechanism,,,unverified,med,,,glycocalyx/v3#1.2,
1.2.1-glycolysis-85-90pct,1.2.1,靜息狀態下內皮細胞 85-90% 的能量來自糖解作用。,fact,,,unverified,high,,具體數值，需查原始測量。內皮偏好糖解為領域共識，但此百分比區間的出處待查,mitochondria/axis#1.1.2,
1.2.1-lung-aorta-mito-density-2-3x,1.2.1,肺微血管內皮的線粒體密度比主動脈內皮高 2-3 倍。,fact,,,unverified,high,,具體數值加解剖歸屬。與 3.3-thrombosis-2-3x 的「2-3 倍」無關（不同量），依 SCHEMA §2 屬不同條,mitochondria/axis#1.1.2,
1.2.1-mito-calcium-apoptosis-ros,1.2.1,內皮線粒體作為細胞內環境傳感器，調節鈣離子濃度與細胞凋亡，並產生適量 ROS 作為信號分子。,mechanism,,,unverified,med,,三個功能並列，可獨立證偽但同屬「線粒體作為感測器」的分述，暫不拆。若查證時三者證據強度不同，依 SCHEMA §6 拆列,mitochondria/axis#1.1.2,
1.2.1-mito-signaling-not-atp,1.2.1,內皮線粒體的主要功能是信號傳遞而非能量生產，在缺氧等壓力下可切換至氧化磷酸化提供輔助能量。,mechanism,,,unverified,med,,原文措辭為「主要功能不是發電而是信號傳遞」，並稱可「快速切換」。「快速」無時間尺度，抽取時未納入 statement,mitochondria/axis#1.1.2,
1.2.1-oxphos-30-40pct,1.2.1,內皮細胞進行血管新生、傷口修復或對抗氧化壓力時，線粒體氧化磷酸化可提供高達 30-40% 的能量。,fact,,,unverified,high,,具體數值。「高達」為原文措辭，保留。三種活化情境（血管新生／傷口修復／抗氧化壓力）是否各自有此數值，原文未區分,mitochondria/axis#1.1.2,
1.3-capillary-recruitment,1.3,糖萼參與微循環的微血管徵召，在血流增加時協助開放更多毛細血管。,mechanism,,,unverified,med,,,glycocalyx/v3#1.3,
2.1.1-aging-10pct-per-decade,2.1.1,40 歲之後糖萼厚度每十年減少約 10%。,epidemiology,,,unverified,high,,未給族群、測量方法與血管床。與 2.2-brain-mouse-0.54-0.23 的老化幅度是否一致須一併核對,intake/2026-07-28-糖萼層生理#L25,
2.1.1-consensus-2-4um,2.1.1,內皮糖萼厚度在臨床與活體測量下落在 2-4 μm。,measurement,,,unsupported,high,2026-07-27,三次不同措辭檢索均未找到「臨床與活體共識 2-4 μm」。人體臨床測量實際值：舌下 OPS 約 0.5 μm（範圍 0.3-0.75）；GlycoCheck PBR 約 1.8-2.3 μm，但 PBR 是紅血球穿透深度、為逆向指標而非厚度（原文 2.1.2 自己有寫）。綜述給出的範圍為 0.2-2 μm 或 1-5 μm，無一為 2-4。疑為把 PBR 數值誤讀為厚度。原 statement 措辭為「臨床與多數活體測量的共識厚度值」，2026-07-30 依 SCHEMA §6 移除未具名權威宣稱「共識」，數值與歸屬未動,glycocalyx/v3#2.1.1,
2.1.1-em-underestimate,2.1.1,傳統電子顯微鏡的脫水固定步驟導致糖萼坍塌，因而顯著低估其厚度。,measurement,animal,DOI:10.1038/s41586-025-08589-9;PMID:21474821,verified,low,2026-07-28,Shi 2025 明言傳統電子顯微鏡無法呈現糖萼層，須加入陽離子金屬染劑（硝酸鑭、釕紅）才能顯示內腔醣層。PMID:21474821 提供同批培養細胞的直接對照：傳統 TEM 0.040 μm vs RF/FS-TEM 11 μm,glycocalyx/v3#2.1.1,
2.1.1-extreme-11um,2.1.1,糖萼功能性水合層厚度可達 11 μm。,measurement,in_vitro,PMID:21474821;!PMID:18258858;!PMID:21775768,contested,high,2026-07-27,11 μm 出處確認為 Ebong 2011 RF/FS-TEM，但條件為體外培養牛主動脈內皮細胞（同篇大鼠脂肪墊 EC 5.83 μm；同細胞傳統 TEM 僅 0.040 μm），非腎絲球、非活體。同細胞型別以 μ-PIV 測得流體力學相關厚度僅 0.02±0.04 μm，ATVB 同期評論質疑為技術造成。tier 依 SCHEMA v2 §5 排除反駁 token，記為 in_vitro。反駁內容：PMID:18258858（animal，小鼠活體 μ-PIV，同細胞型別測得 0.02 μm，數值相差 500 倍）；PMID:21775768（review，同期評論，質疑為標本製備技術所致）。原 statement 措辭為「部分文獻報告」，2026-07-30 依 SCHEMA §6 移除無主詞措辭，數值與歸屬未動。同源列 2.1.1-extreme-11um-brain-kidney 同批改,glycocalyx/v3#2.1.1,
